,antecedent,consequent,confidence,antetitle,constitle
52,870970-basis:24765210,870970-basis:27047548,0.714285714286,Norge,Turen går til Norge
39,870970-basis:29066019,870970-basis:28607857,0.670103092784,Flere hæklede dyr,Hæklede dyr
38,870970-basis:28607857,870970-basis:29066019,0.663265306122,Hæklede dyr,Flere hæklede dyr
17,870970-basis:26176972,870970-basis:26820359,0.590909090909,Politikens visuelle guide - London,Turen går til London
1,870970-basis:28029608,870970-basis:26765552,0.586206896552,Politikens visuelle guide - Barcelona & Catalonien,Turen går til Barcelona og Costa Brava
10,870970-basis:27288146,870970-basis:28414897,0.563829787234,Politikens Kort og godt om Berlin,Politikens visuelle guide - Berlin
25,125610-katalog:20035862,820010-katalog:2351249,0.545454545455,Rejsen over stepperne,Hulebjørnens klan
34,870970-basis:28557590,870970-basis:27474659,0.533333333333,Strik en stund,Strik naturligvis!
2,870970-basis:29702446,870970-basis:50657469,0.532110091743,Axel Strøbye : en tragisk komedie,Ikke et sekund spildt
3,870970-basis:51161165,870970-basis:29537011,0.504098360656,Kærligheden kampen og kloden : en erindringsdebatbog,Jesus pengene og livet
33,870970-basis:27474659,870970-basis:28557590,0.5,Strik naturligvis!,Strik en stund
44,870970-basis:50928586,870970-basis:29943346,0.5,Mæt & slank med LCHF : low carb high fat,Spis dig mæt & glad : LCHF : low carb high fat
43,870970-basis:29320594,870970-basis:29027471,0.492537313433,Mit liv som papegøje : erindringer,Vi kan sove i flyvemaskinen
35,870970-basis:27269184,870970-basis:28392621,0.478260869565,Slagtebænk Dybbøl : 18. april 1864 : historien om et slag,Dommedag Als : 29. juni 1864 : kampen for Danmarks eksistens
9,870970-basis:28461747,870970-basis:29027471,0.475806451613,Længe leve livet,Vi kan sove i flyvemaskinen (1)
12,870970-basis:29492301,870970-basis:29143315,0.471074380165,Verdens bedste kur vol. 2.0,Verdens bedste kur : vægttab der holder
22,870970-basis:28694156,870970-basis:29689954,0.469230769231,Mere feminin strik,Suveræn strik på den feminine måde
23,870970-basis:28992408,870970-basis:29027471,0.4375,Bag skodderne,Vi kan sove i flyvemaskinen (2)
26,870970-basis:29623627,870970-basis:50657469,0.430894308943,Preben Kꜳs : det bli'r vinter førend man aner,Ikke et sekund spildt (1)
36,870970-basis:28392621,870970-basis:27269184,0.427777777778,Dommedag Als : 29. juni 1864 : kampen for Danmarks eksistens,Slagtebænk Dybbøl : 18. april 1864 : historien om et slag
50,870970-basis:28489617,870970-basis:29027471,0.415384615385,Ingemanns land : et familiedrama,Vi kan sove i flyvemaskinen (3)
21,870970-basis:29689954,870970-basis:28694156,0.412162162162,Suveræn strik på den feminine måde,Mere feminin strik
16,870970-basis:24536793,870970-basis:24725006,0.412121212121,Turen går til Midttyskland,Turen går til Hamburg og Nordtyskland
30,870970-basis:28999305,870970-basis:29027471,0.407894736842,Ghita : en biografi,Vi kan sove i flyvemaskinen (4)
40,870970-basis:28485921,870970-basis:29027471,0.401408450704,Thyra Frank : livsglæde & stjernestunder,Vi kan sove i flyvemaskinen (5)
48,870970-basis:28403801,870970-basis:29027471,0.39751552795,Enegænger : portræt af en prins,Vi kan sove i flyvemaskinen (6)
41,870970-basis:28414897,870970-basis:25451104,0.396984924623,Politikens visuelle guide - Berlin,Turen går til Berlin
