,0,1,2,3,4,5,6,7,8,9,month
1,477,466,381,0.0,582,239,418,232,341,458,January
2,546,425,404,163.0,509,272,354,276,298,378,February
3,576,435,445,549.0,507,332,295,339,352,298,March
4,533,406,435,510.0,464,353,266,373,333,264,April
5,467,473,352,525.0,392,375,343,350,311,238,May
6,464,475,174,501.0,324,365,361,365,310,278,June
7,440,460,77,455.0,350,429,304,392,314,356,July
8,356,377,337,418.0,267,368,269,354,283,297,August
9,323,315,435,352.0,237,374,307,367,333,323,September
10,308,280,494,314.0,234,369,318,291,344,302,October
11,248,229,475,244.0,214,328,293,205,291,266,November
12,226,197,305,221.0,158,192,304,152,152,196,December
