kommunenavn,kommunenummer
Aabenraa,0.171831013715
Aalborg,0.122932185725
Aarhus,0.140166620985
Albertslund,0.153785711655
Ballerup,0.149279595174
Broenderslev,0.181966794173
Esbjerg,0.10010157377
Frederikshavn,0.178164150128
Gentofte,0.179163603319
Gladsaxe,0.144697621188
Greve,0.172053943161
Guldborgsund,0.168288538145
Haderslev,0.164424908232
Hedensted,0.182441108445
Herning,0.144920364423
Hilleroed,0.148752308596
Hjoerring,0.175320145747
Horsens,0.148993144138
Hoeje-Taastrup,0.140769090992
Ishoej,0.138883155601
Jammerbugt,0.181941055573
Kalundborg,0.174430088394
Kolding,0.150908438919
Koebenhavn,0.117268485776
Koege,0.150508091073
Lejre,0.158352195008
Lemvig,0.184897799199
Lolland,0.199603110754
Morsoe,0.218433612494
Randers,0.161250183872
Rebild,0.176462873674
Ringsted,0.152768780392
Roskilde,0.102976147582
Silkeborg,0.120690463356
Slagelse,0.163360986107
Solroed,0.165682274102
Soroe,0.0200924700504
Struer,0.158797476034
Soenderborg,0.158007507697
Thisted,0.170331770343
Toender,0.180968659148
Vallensbaek,0.158956447359
Varde,0.160170623217
Vejle,0.14438423413
Vesthimmerlands,0.178454621807
Viborg,0.153703924171
Vordingborg,0.157344110452
