kommunenavn,kommunenummer
Aabenraa,0.0164318264246
Aalborg,0.0129151108062
Aarhus,0.0190954029847
Albertslund,0.0199751998134
Ballerup,0.0130006427101
Broenderslev,0.0125748915923
Esbjerg,0.0106185094828
Frederikshavn,0.0143627458635
Gentofte,0.0161402275021
Gladsaxe,0.0168485745876
Greve,0.0134435527665
Guldborgsund,0.016831607783
Haderslev,0.0172706563596
Hedensted,0.0131860537259
Herning,0.0179928338905
Hilleroed,0.016579919409
Hjoerring,0.0150803787184
Horsens,0.018060734204
Hoeje-Taastrup,0.0150649616136
Ishoej,0.0171539961014
Jammerbugt,0.0119316398538
Kalundborg,0.0147895428464
Kolding,0.0162204159694
Koebenhavn,0.0204011594635
Koege,0.0137174488374
Lejre,0.0147765121543
Lemvig,0.0169415248824
Lolland,0.0144489139179
Morsoe,0.0152959489535
Randers,0.0165352033201
Rebild,0.0140096432015
Ringsted,0.0166053022165
Roskilde,0.0106363046768
Silkeborg,0.0184568870556
Slagelse,0.0168699075846
Solroed,0.0150608957041
Soroe,0.00690947216445
Struer,0.0168122800631
Soenderborg,0.0145788519128
Thisted,0.0164859750357
Toender,0.0165170441839
Vallensb_k,0.0112029842944
Varde,0.012799943638
Vejle,0.0189808462331
Vesthimmerlands,0.0127019416037
Viborg,0.015820733627
Vordingborg,0.019482927242
