kommunenavn,kommunenummer
Aabenraa,0.110579283562
Aalborg,0.182514523624
Aarhus,0.12770750288
Albertslund,0.126431842457
Ballerup,0.114093249917
Broenderslev,0.100684317488
Esbjerg,0.279217258817
Frederikshavn,0.106975001171
Gentofte,0.0979624361263
Gladsaxe,0.124239446
Greve,0.107560489954
Guldborgsund,0.117673836165
Haderslev,0.136449608214
Hedensted,0.0954280755351
Herning,0.134019357235
Hilleroed,0.119669241101
Hjoerring,0.118026698966
Horsens,0.127216443941
Hoeje-Taastrup,0.127379275882
Ishoej,0.132484806788
Jammerbugt,0.0905174595782
Kalundborg,0.107575151609
Kolding,0.134142162722
Koebenhavn,0.151568023917
Koege,0.115820521627
Lejre,0.0837642382644
Lemvig,0.0998925730213
Lolland,0.11687851971
Morsoe,0.111021059267
Randers,0.125951612164
Rebild,0.0879614271938
Ringsted,0.122186323791
Roskilde,0.348879440801
Silkeborg,0.132420840462
Slagelse,0.129796480303
Solroed,0.121338028606
Soroe,0.466389371101
Struer,0.110399223395
Soenderborg,0.111177190097
Thisted,0.107352269443
Toender,0.12175862326
Vallensbaek,0.107646066481
Varde,0.110956329039
Vejle,0.120597541832
Vesthimmerlands,0.100815177116
Viborg,0.110677525416
Vordingborg,0.104631456877
