kommunenavn,kommunenummer
Aabenraa,0.330691740417
Aalborg,0.323545761958
Aarhus,0.30488661471
Albertslund,0.252667247793
Ballerup,0.275551795114
Broenderslev,0.334281182689
Esbjerg,0.301396795129
Frederikshavn,0.334832326198
Gentofte,0.228919981551
Gladsaxe,0.277872970509
Greve,0.281843963072
Guldborgsund,0.314710566005
Haderslev,0.295872572344
Hedensted,0.322649933441
Herning,0.322039064036
Hilleroed,0.285523526696
Hjoerring,0.334682472582
Horsens,0.321124032235
Hoeje-Taastrup,0.290072911461
Ishoej,0.25730994152
Jammerbugt,0.357751769244
Kalundborg,0.305585256164
Kolding,0.309705952666
Koebenhavn,0.241557861519
Koege,0.313844724136
Lejre,0.331437965025
Lemvig,0.335339120841
Lolland,0.317947617771
Morsoe,0.30276073225
Randers,0.320703849372
Rebild,0.326279652845
Ringsted,0.324557806952
Roskilde,0.200936801902
Silkeborg,0.333114585042
Slagelse,0.308642590847
Solroed,0.264829547925
Soroe,0.336144961414
Struer,0.299720907657
Soenderborg,0.328166519043
Thisted,0.330875429978
Toender,0.306337390712
Vallensb_k,0.264083921401
Varde,0.344490452081
Vejle,0.310958451889
Vesthimmerlands,0.362403043328
Viborg,0.329607435921
Vordingborg,0.346128673424
